PG,SG,SF,PF,C,G,F,UTIL,Unnamed: 8,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,Saber Score
42180456,42180517,42180567,42180485,42180588,42180459,42180507,42180531,,246.0,230.1875,247.5,263.5,273.0,289.5125,306.525,206.0,50000,1,0,105.07782906756088,100.3431148012617,102.70881505589004,97.97741454663338,173.42586716349953,102.61269266172025,100.24699240709192,100.24699240709192,88.1116336933691,41.30854904651642
42180459,42180468,42180528,42180620,42180454,42180520,42180544,42180599,,242.7,227.02975463867188,242.09225463867188,258.8422546386719,267.5922546386719,280.1547546386718,298.0947543334961,221.0,49900,1,0,103.41055869647428,98.22671353666244,100.75604698040752,95.69738009291736,172.05014963355828,100.70953042182497,98.18019697807986,98.18019697807986,86.01226146920374,53.26629877090454
42180456,42180551,42180531,42180462,42180526,42180498,42180507,42180577,,242.3,225.26976013183597,242.0197525024414,259.8322448730469,269.0197448730469,286.54474487304685,308.28724517822263,219.0,49700,1,0,103.22343075116362,98.0452017747194,100.65377274705196,95.43663080238684,171.76458958829753,100.71299561555988,98.1044246432273,98.1044246432273,85.8731372292744,54.389381408691406
42180547,42180517,42180485,42180465,42180454,42180551,42180544,42180540,,245.00000000000003,228.91751098632807,244.16751098632807,262.4175109863281,269.70501098632815,286.4175109863281,301.93751068115233,232.0,50000,1,0,104.23582445875331,98.86014326660924,101.5530662389572,96.16722029426124,172.45370925784573,101.41672088673278,98.7237979143848,98.7237979143848,86.30093054171908,54.69921231269837
42180459,42180468,42180528,42180507,42180493,42180482,42180498,42180577,,246.8,228.9262542724609,247.4262542724609,264.48876953125,274.17626953125,291.95126953125,308.7037692260742,250.0,49900,1,0,104.91034385816788,99.16132237489212,102.05421677106978,96.26842797871444,172.6256488565724,101.94459101016857,99.0516966139909,99.0516966139909,86.35737251169726,135.64159870147705
42180456,42180601,42180485,42180507,42180588,42180547,42180465,42180476,,238.8,224.854248046875,241.354248046875,255.854248046875,263.354248046875,281.14174804687497,296.609248046875,195.0,49400,1,0,101.98377361777774,97.53120229397886,99.78716257533054,95.2752420126272,171.35781732450872,99.66067391669011,97.40471363533844,97.40471363533844,85.66503611808525,-17.727775871753693
42180459,42180472,42180555,42180531,42180599,42180517,42180583,42180454,,242.7,225.86749267578125,242.61749267578125,260.86749267578125,268.4049926757813,284.1799926757812,302.87499267578124,214.0,50000,1,0,103.45445762178284,98.4068291310424,100.92128091222138,95.89237734986344,172.07991295869053,100.8897460442308,98.37529426305184,98.37529426305184,86.22224041674181,80.9771478176117
42180594,42180468,42180485,42180465,42180493,42180459,42180555,42180526,,243.72,227.29574584960935,244.4832534790039,261.3582458496094,270.43324584960936,286.3832458496093,300.1207763671875,211.86,50000,1,0,103.99442736545656,99.07347797395153,101.52545832521564,96.62149762268744,172.528922538139,101.3330866320452,98.8811062807811,98.8811062807811,86.75001552443359,36.31282150745392
42180540,42180551,42180528,42180485,42180507,42180456,42180462,42180577,,246.50000000000003,232.02525329589844,247.08775329589844,264.0877685546875,272.8377685546875,288.1002685546875,308.8602685546875,257.0,49700,1,0,104.63601263880592,98.5903723434651,101.59066715614954,95.59007753078068,172.31553428249455,101.61557363043256,98.61527881774812,98.61527881774812,85.8254685165808,66.20959043502808
42180520,42180468,42180498,42180531,42180493,42180456,42180544,42180577,,244.9,227.75601196289065,245.75601196289065,262.5685119628906,271.5060119628906,289.0185119628906,308.2610119628906,222.0,49700,1,0,104.30474019382264,99.04095214306776,101.68954662918672,96.39235765694882,172.51059498328237,101.66468845703722,99.01609397091826,99.01609397091826,86.6415264903593,109.00651216506958
